Date,Price,Open,High,Low,Vol.,Change %
"Dec 08, 2024",
"Dec 01, 2024",99837.0,96404.7,103719.4,92510.4,1.02M,3.56%
"Nov 24, 2024",96405.7,97696.4,98872.4,90817.2,659.36K,-1.32%
"Nov 17, 2024",97699.0,90569.4,99617.4,88736.1,938.17K,7.91%
"Nov 10, 2024",90539.1,76681.4,93226.6,76520.5,1.46M,18.04%
"Nov 03, 2024",76700.3,69334.8,77188.5,66834.0,1.14M,10.64%
"Oct 27, 2024",69325.8,67084.7,73569.4,66924.6,769.03K,3.34%
"Oct 20, 2024",67086.8,68373.3,69490.8,65246.7,630.37K,-1.88%
"Oct 13, 2024",68372.0,63205.4,68990.3,62054.2,674.99K,8.17%
"Oct 06, 2024",63205.1,62062.0,64449.3,59075.7,505.23K,1.84%
"Sep 29, 2024",62061.4,65862.8,66065.7,59904.4,591.90K,-5.78%
"Sep 22, 2024",65866.5,63351.2,66440.7,62394.6,517.48K,3.98%
"Sep 15, 2024",63348.1,59995.6,64085.1,57527.8,642.91K,5.59%
"Sep 08, 2024",59995.4,54161.4,60625.4,53642.4,637.99K,10.78%
"Sep 01, 2024",54156.5,58975.7,59799.7,52644.6,718.72K,-8.18%
"Aug 25, 2024",58978.6,64160.7,64939.2,57874.7,588.30K,-8.07%
"Aug 18, 2024",64159.3,59485.4,64830.1,57872.0,565.27K,7.86%
"Aug 11, 2024",59483.1,60929.8,61677.3,56275.7,454.19K,-2.38%
"Aug 04, 2024",60931.7,60700.2,62563.5,49486.9,856.80K,0.39%
"Jul 28, 2024",60696.7,67888.9,70000.2,59914.6,492.61K,-10.53%
"Jul 21, 2024",67843.1,67147.8,69387.6,63500.9,413.90K,1.03%
"Jul 14, 2024",67148.5,59207.9,67586.4,59207.9,519.22K,13.41%
"Jul 07, 2024",59209.8,58240.2,59826.5,54320.0,442.60K,1.63%
"Jun 30, 2024",58259.2,60973.1,63842.1,53883.4,674.06K,-4.45%
"Jun 23, 2024",60973.4,64261.0,64518.9,58589.9,439.02K,-5.12%
"Jun 16, 2024",64261.0,66223.0,67253.8,63427.9,398.24K,-2.96%
"Jun 09, 2024",66223.0,69310.5,70152.5,65076.5,436.55K,-4.45%
"Jun 02, 2024",69310.1,67760.8,71956.5,67330.6,455.56K,2.29%
"May 26, 2024",67760.8,69287.2,70638.3,66676.8,385.09K,-2.20%
"May 19, 2024",69284.4,66919.0,71872.0,65937.3,534.40K,3.54%
"May 12, 2024",66917.5,60826.6,67420.7,60647.1,469.69K,10.01%
"May 05, 2024",60826.6,63897.7,65448.8,60251.8,455.08K,-4.79%
"Apr 28, 2024",63888.3,63457.9,64700.2,56643.5,693.18K,0.68%
"Apr 21, 2024",63456.8,64942.1,67208.0,62507.7,451.32K,-2.32%
"Apr 14, 2024",64961.1,63909.5,66805.1,59693.3,869.36K,1.74%
"Apr 07, 2024",63849.9,68897.3,72710.8,61065.5,680.91K,-7.32%
"Mar 31, 2024",68890.6,69608.5,71367.5,64559.0,649.77K,-1.04%
"Mar 24, 2024",69611.5,64036.5,71670.8,63812.9,583.25K,8.70%
"Mar 17, 2024",64037.8,65314.2,68920.1,60850.9,644.98K,-1.95%
"Mar 10, 2024",65314.2,68360.7,73740.9,64971.0,753.56K,-4.46%
"Mar 03, 2024",68366.5,61955.6,69904.0,60138.2,796.49K,10.28%
"Feb 25, 2024",61994.5,51572.1,63915.3,50925.2,642.90K,20.21%
"Feb 18, 2024",51571.6,51646.0,52936.8,50537.6,327.44K,-0.14%
"Feb 11, 2024",51646.0,47759.3,52819.4,47590.2,455.62K,8.14%
"Feb 04, 2024",47758.2,43006.2,48149.0,42272.5,402.98K,11.05%
"Jan 28, 2024",43005.7,42121.3,43817.9,41649.0,320.49K,2.10%
"Jan 21, 2024",42120.9,41695.4,42214.8,38546.9,427.70K,1.02%
"Jan 14, 2024",41695.4,42851.3,43563.7,40305.4,418.57K,-2.70%
"Jan 07, 2024",42851.3,43973.5,48923.7,41857.9,771.35K,-2.54%
"Dec 31, 2023",43967.9,42141.6,45885.4,40888.3,482.41K,4.35%
"Dec 24, 2023",42136.7,43710.4,43935.7,41459.0,338.09K,-3.60%
"Dec 17, 2023",43710.4,42271.7,44394.6,40554,358.37K,3.40%
"Dec 10, 2023",42271.7,43716.6,44045.4,40277.1,399.45K,-3.31%
"Dec 03, 2023",43096.3,39456.8,44424.1,39280.3,375.68K,10.8%
"Nov 26, 2023",39458.4,37786.4,39673.4,36751.5,337.81K,4.42%
"Nov 19, 2023",37787,36568.6,38400.8,35695.6,377.06K,3.33%
"Nov 12, 2023",36568.6,37149,37954.1,34984.3,371.77K,-1.57%
"Nov 05, 2023",37150.5,35065.8,37942,34536.9,395.79K,5.95%
"Oct 29, 2023",35065.8,34082.6,35907.6,33937.6,356.78K,2.88%
"Oct 22, 2023",34082.6,29912.7,35191.4,29713.6,546.20K,13.94%
"Oct 15, 2023",29912.9,26852.8,30264.8,26812.6,453.75K,11.40%
"Oct 08, 2023",26852.8,27961.1,28097.5,26558.4,258.44K,-3.96%
"Oct 01, 2023",27961.1,26962.5,28556.6,26955.7,355.31K,3.70%
"Sep 24, 2023",26962.7,26579,27283.6,26013.6,283.67K,1.44%
"Sep 17, 2023",26579.2,26562,27480.7,26382.3,282.39K,0.06%
"Sep 10, 2023",26562,25901.1,26837.4,24923.1,327.53K,2.55%
"Sep 03, 2023",25901.1,25869.7,26417.7,25411.7,233.37K,0.12%
"Aug 27, 2023",25869.7,26017.1,28046,25361.9,371.58K,-0.57%
"Aug 20, 2023",26017.1,26099.5,26807.7,25481.9,293.72K,-0.32%
"Aug 13, 2023",26099.4,29428.2,29689,25489.4,442.95K,-11.31%
